Song name,Song artist,Song popularity,Song audio,Song image,Playlist
Boy's a Liar,PinkPantheress,74,../Data/Chill/Boy's a Liar/PinkPantheress - Boy's a Liar.mp3,../Data/Chill/Boy's a Liar/Boy's a Liar.jpg,Chill
ROXANNE,Arizona Zervas,78,../Data/Chill/ROXANNE/Arizona Zervas - ROXANNE.mp3,../Data/Chill/ROXANNE/ROXANNE.jpg,Chill
Mockingbird (Sped Up),fenekot,8,../Data/Chill/Mockingbird (Sped Up)/fenekot - Mockingbird (Sped Up).mp3,../Data/Chill/Mockingbird (Sped Up)/Mockingbird (Sped Up).jpg,Chill
SNAP - High and Fast,Rosa Linn,0,../Data/Chill/SNAP - High and Fast/Rosa Linn - SNAP - High and Fast.mp3,../Data/Chill/SNAP - High and Fast/SNAP - High and Fast.jpg,Chill
Hundred Miles (Sped Up Version),Yall,60,"../Data/Chill/Hundred Miles (Sped Up Version)/Yall, Gabriela Richardson - Hundred Miles (Sped Up Version).mp3",../Data/Chill/Hundred Miles (Sped Up Version)/Hundred Miles (Sped Up Version).jpg,Chill
Landslide,Oh Wonder,67,../Data/Chill/Landslide/Oh Wonder - Landslide.mp3,../Data/Chill/Landslide/Landslide.jpg,Chill
Sure Thing - Sped Up,Miguel,77,../Data/Chill/Sure Thing - Sped Up/Miguel - Sure Thing - Sped Up.mp3,../Data/Chill/Sure Thing - Sped Up/Sure Thing - Sped Up.jpg,Chill
Pope Is a Rockstar,SALES,73,../Data/Chill/Pope Is a Rockstar/SALES - Pope Is a Rockstar.mp3,../Data/Chill/Pope Is a Rockstar/Pope Is a Rockstar.jpg,Chill
Why Not Me,Enrique Iglesias,55,../Data/Chill/Why Not Me/Enrique Iglesias - Why Not Me.mp3,../Data/Chill/Why Not Me/Why Not Me.jpg,Chill
Cupid Twin Version (Sped Up) - Remix,Music Factory,2,../Data/Chill/Cupid Twin Version (Sped Up) - Remix/Music Factory - Cupid Twin Version (Sped Up) - Remix.mp3,../Data/Chill/Cupid Twin Version (Sped Up) - Remix/Cupid Twin Version (Sped Up) - Remix.jpg,Chill
Money Trees,Kendrick Lamar,73,"../Data/Chill/Money Trees/Kendrick Lamar, Jay Rock - Money Trees.mp3",../Data/Chill/Money Trees/Money Trees.jpg,Chill
you'll get over it,Xeni,35,"../Data/Chill/you'll get over it/Xeni, shawnii, Nuu - you'll get over it.mp3",../Data/Chill/you'll get over it/you'll get over it.jpg,Chill
Kill Bill (TikTok Version Sped) - Remix,Xanemusic,1,../Data/Chill/Kill Bill (TikTok Version Sped) - Remix/Xanemusic - Kill Bill (TikTok Version Sped) - Remix.mp3,../Data/Chill/Kill Bill (TikTok Version Sped) - Remix/Kill Bill (TikTok Version Sped) - Remix.jpg,Chill
Just for Me,PinkPantheress,67,../Data/Chill/Just for Me/PinkPantheress - Just for Me.mp3,../Data/Chill/Just for Me/Just for Me.jpg,Chill
It's You (Sped Up),fenekot,0,../Data/Chill/It's You (Sped Up)/fenekot - It's You (Sped Up).mp3,../Data/Chill/It's You (Sped Up)/It's You (Sped Up).jpg,Chill
Die For You - Sped Up,The Weeknd,66,"../Data/Chill/Die For You - Sped Up/The Weeknd, xxtristanxo, Speed Radio - Die For You - Sped Up.mp3",../Data/Chill/Die For You - Sped Up/Die For You - Sped Up.jpg,Chill
BUNNY GIRL SENPAI DRILL SPED UP,DRILL GATES,52,../Data/Chill/BUNNY GIRL SENPAI DRILL SPED UP/DRILL GATES - BUNNY GIRL SENPAI DRILL SPED UP.mp3,../Data/Chill/BUNNY GIRL SENPAI DRILL SPED UP/BUNNY GIRL SENPAI DRILL SPED UP.jpg,Chill
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,88,../Data/Chill/Too Many Nights (feat. Don Toliver & with Future)/Metro Boomin - Too Many Nights (feat. Don Toliver & with Future).mp3,../Data/Chill/Too Many Nights (feat. Don Toliver & with Future)/Too Many Nights (feat. Don Toliver & with Future).jpg,Chil
abcdefu,GAYLE,81,../Data/What about me/abcdefu/GAYLE - abcdefu.mp3,../Data/What about me/abcdefu/abcdefu.jpg,What about me
